property_id,description
1,2BHK apartment in New York, price 550000
2,3BHK house in Los Angeles, price 800000
3,1BHK studio in New York, price 300000
4,2BHK apartment in San Francisco, price 600000
5,3BHK villa in Miami, price 750000
6,1BHK apartment in Boston, price 350000
7,2BHK house in Seattle, price 500000
8,4BHK mansion in Chicago, price 1200000
9,2BHK condo in Austin, price 400000
10,1BHK loft in New York, price 320000
11,2BHK penthouse in Los Angeles, price 950000
12,3BHK cottage in San Francisco, price 650000
13,1BHK apartment in Miami, price 340000
14,2BHK townhouse in Seattle, price 520000
15,4BHK farmhouse in Austin, price 720000
